count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
578,809,1304,-7.434892,6.1489453,-0.005046968348324299,0.014828753657639027,-0.06999599188566208,0.9936240315437317,9.505270957946777,1.3048797845840454,-7.2851515,5.0887003,3.0381644,534.375,680.625,719.25,184.3,567.0,538.875,476.25,179.5,345.0,541.875
579,809,1304,-7.595443,5.862947,0.024885427206754684,0.02154827117919922,-0.03456581011414528,0.9984126091003418,9.723150253295898,1.271359920501709,-6.883803,5.482332,3.1379673,534.375,680.625,718.5,186.1,571.5,550.875,479.25,181.8,353.25,555.75
580,917,1644,-7.947791,5.26683,0.0016725490568205714,-0.02243402600288391,0.010638218373060226,1.0606637001037598,9.49090576171875,1.0798178911209106,-6.916029,2.6974826,5.4523625,540.0,675.0,719.25,183.8,567.0,537.0,476.25,177.5,345.0,534.375
581,917,1644,-8.051363,5.252776,-0.008101294748485088,-0.03220786899328232,-0.0021899519488215446,1.053480863571167,9.375980377197266,1.3455824851989746,-8.070516,1.7789327,5.391411,526.875,675.0,714.75,182.6,567.75,537.75,477.0,178.2,340.5,531.75
582,917,1644,-8.0567045,5.1009703,-0.018486004322767258,-0.04014911502599716,0.02407725341618061,1.0462981462478638,9.462174415588379,1.35037100315094,-8.315667,1.5616503,5.0803685,526.875,675.0,710.25,181.9,568.5,540.375,477.0,178.2,340.5,531.75
583,917,1644,-8.020094,5.152333,0.013278989121317863,1.6798794968053699E-4,-0.0015790866455063224,1.0415095090866089,9.42386531829834,1.4078335762023926,-7.842398,2.1959908,4.989928,521.25,667.5,714.75,183.6,567.75,541.5,472.5,179.0,341.25,540.0
584,593,709,-8.24648,3.7342079,4.5081853750161827E-4,-0.00960585568100214,0.032018501311540604,0.7206767201423645,9.550762176513672,1.2809370756149292,-5.9748683,3.858176,3.125241,485.625,661.875,673.5,177.6,526.5,519.0,435.75,175.2,299.25,520.5
585,593,709,-8.244254,3.846826,0.0444331169128418,-0.002275473205372691,-0.0070768739096820354,0.6919454336166382,9.550762176513672,1.3695251941680908,-6.376113,4.315064,2.9979131,489.375,654.375,673.5,177.1,526.5,517.125,435.0,174.0,303.75,521.25
586,593,709,-8.09806,3.847992,0.045654844492673874,0.0032223141752183437,-0.007687739096581936,0.7637736797332764,9.454991340637207,1.2330515384674072,-5.3341866,4.760289,2.596123,489.375,654.375,677.25,177.1,530.25,517.125,439.5,174.7,303.0,518.625
587,593,709,-8.13963,3.8392894,0.08536108583211899,0.005665775388479233,-0.011352931149303913,0.7877163887023926,9.510059356689453,1.2881197929382324,-6.7594934,4.7377295,2.6555398,489.375,646.875,677.25,177.6,530.25,519.0,439.5,174.7,303.0,518.625
