count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
871,485,199,-22.026232,12.940274,0.06127222999930382,-0.031946420669555664,0.00579833285883069,2.0638649463653564,8.820508003234863,3.8523881435394287,-5.4034743,3.8688636,-5.1956964,517.5,738.75,687.0,194.2,550.5,591.75,462.75,202.9,321.0,619.125
872,485,199,-22.061007,12.908333,-0.10671571642160416,0.03097270056605339,-0.007029836997389793,2.1309046745300293,8.784594535827637,3.557892322540283,-5.7862654,3.6959696,-5.6031184,513.75,742.5,687.0,194.7,550.5,593.625,455.25,203.4,313.5,621.0
873,485,199,-22.124907,12.922633,-0.01814025454223156,0.04013567790389061,-0.01374935545027256,2.0925962924957275,8.798959732055664,3.715914487838745,-5.6864257,4.2024674,-5.494172,513.75,742.5,679.5,195.2,543.0,595.5,455.25,203.9,313.5,622.875
874,485,199,-22.23323,12.909411,-0.01203160174190998,0.03769221901893616,-0.005197241436690092,2.042316436767578,8.772623062133789,3.7422516345977783,-5.6364837,4.5349765,-5.581643,510.0,742.5,678.75,194.0,547.5,596.25,454.5,202.7,318.0,623.625
875,161,369,-22.770845,12.703371,-0.0010360274463891983,0.05357471480965614,-0.014360220171511173,2.047105073928833,8.765439987182617,3.806896924972534,-6.346213,4.3801637,-5.830509,502.5,753.75,663.75,197.5,532.5,609.375,440.25,206.9,298.5,634.125
876,161,369,-22.810873,12.685565,0.024009447544813156,-0.03438987955451012,0.01251785084605217,1.9585168361663818,8.765439987182617,3.936187744140625,-6.5117445,4.169218,-5.7233295,502.5,753.75,664.5,198.2,528.0,606.75,439.5,206.2,303.0,636.75
877,161,369,-22.849766,12.642214,0.012403007596731186,0.062126826494932175,0.0027440066915005445,1.9776710271835327,8.75107479095459,3.902667999267578,-6.2613053,3.9515305,-5.7147083,502.5,753.75,664.5,198.2,528.0,606.75,440.25,206.9,298.5,634.125
878,161,369,-22.939987,12.6521225,-0.0016468926332890987,0.05113125219941139,-0.004586376249790192,1.9968252182006836,8.727131843566895,3.936187744140625,-5.736522,4.3767037,-5.7972,502.5,753.75,660.0,197.5,528.75,609.375,435.0,205.0,303.75,637.5
879,161,369,-22.948217,12.6235695,-0.042574863880872726,-0.0032357533928006887,-0.01924714259803295,2.1189332008361816,8.758256912231445,3.7111258506774902,-6.0612917,4.404057,-6.235255,502.5,753.75,660.0,197.5,528.75,609.375,435.0,206.0,303.75,641.25
880,809,539,-22.75759,13.365699,0.007516086101531982,-0.010566136799752712,-0.009473297744989395,2.145270347595215,8.736708641052246,3.7326743602752686,-6.341122,4.465161,-5.5263443,523.125,759.375,686.25,198.0,555.0,611.25,462.0,206.7,325.5,638.625
881,809,539,-22.916317,13.349301,0.12968912720680237,-0.14801082015037537,0.022902559489011765,1.9848538637161255,8.696005821228027,4.017592906951904,-5.664991,4.246292,-5.360664,519.375,761.25,686.25,197.5,555.0,609.375,462.0,206.2,325.5,636.75
882,809,539,-22.966602,13.340842,-0.09388754516839981,0.024253183975815773,-0.013138489797711372,2.1572415828704834,8.710371971130371,3.60098934173584,-5.676014,3.8893974,-5.4631553,519.375,759.375,682.5,198.0,551.25,611.25,458.25,207.2,321.75,640.5
883,809,539,-22.81252,13.441291,0.02278771810233593,-0.014842192642390728,-0.008862433023750782,2.145270347595215,8.760651588439941,3.938581943511963,-6.541969,3.9362357,-5.2458577,519.375,761.25,686.25,198.0,555.0,611.25,462.0,206.2,325.5,636.75
884,809,539,-22.821535,13.451496,0.02584204263985157,0.01997712440788746,-0.014360220171511173,2.1476645469665527,8.763046264648438,3.902667999267578,-4.5413284,4.488768,-5.4340115,519.375,759.375,682.5,198.0,551.25,611.25,458.25,207.2,321.75,640.5
885,809,539,-22.847757,13.470566,0.035615887492895126,0.0010403034975752234,-0.014971085824072361,2.1476645469665527,8.755863189697266,3.9481592178344727,-6.3484836,4.0749693,-5.4807034,519.375,759.375,687.0,198.7,550.5,608.625,462.0,206.2,325.5,636.75
886,917,1644,-22.822393,13.456018,0.04661146178841591,-0.015453058294951916,0.0027440066915005445,2.1189332008361816,8.715160369873047,3.931399345397949,-5.6757464,4.437556,-5.604692,519.375,761.25,686.25,198.0,555.0,611.25,462.0,206.7,325.5,638.625
887,917,1644,-22.886812,13.480119,-0.002257757820188999,0.07251153886318207,-0.021079737693071365,2.142875909805298,8.763046264648438,4.0128045082092285,-5.7625685,4.624642,-5.493409,519.375,761.25,686.25,198.0,555.0,611.25,462.0,207.2,325.5,640.5
888,917,1644,-22.957424,13.425109,-0.05234871059656143,0.01936626061797142,-0.011916759423911572,2.20033860206604,8.75107479095459,3.806896924972534,-6.1926994,4.6392703,-5.511885,519.375,759.375,686.25,198.0,555.0,611.25,462.0,207.2,325.5,640.5
889,917,1644,-23.195354,13.39238,0.04355713725090027,-0.02705949731171131,-0.0394056960940361,2.106961727142334,8.715160369873047,3.9888617992401123,-5.8177404,4.3455143,-5.502018,519.375,761.25,687.0,198.7,550.5,608.625,462.0,207.2,325.5,640.5
890,917,1644,-22.829163,13.49171,0.011181277222931385,-0.05332670360803604,0.037563323974609375,2.3008980751037598,8.715160369873047,3.6129605770111084,-5.716312,4.2943726,-5.860353,519.375,765.0,682.5,201.0,551.25,622.5,458.25,209.2,321.75,648.0
891,53,1559,-23.417479,11.438203,0.07104607671499252,-0.09975246340036392,0.034508999437093735,1.6400781869888306,8.75107479095459,4.16124963760376,-4.099387,4.8276534,-7.406022,461.25,776.25,615.0,202.0,483.75,626.25,390.75,212.2,254.25,659.25
892,53,1559,-23.56647,11.459087,0.0472223274409771,-0.019729115068912506,0.016793906688690186,1.7478206157684326,8.755863189697266,4.2642035484313965,-5.3426723,4.909398,-7.778904,470.625,768.75,622.5,201.5,491.25,624.375,398.25,212.2,261.75,659.25
893,53,1559,-23.49701,11.452334,-0.074339859187603,0.13909585773944855,0.0015222762012854218,1.781340479850769,8.755863189697266,4.022381782531738,-4.917301,4.5034947,-7.531896,472.5,768.75,622.5,202.5,491.25,628.125,397.5,211.5,266.25,661.875
894,53,1559,-23.656528,11.261937,-0.12320907413959503,0.2734861969947815,0.003354871878400445,1.8076775074005127,8.789382934570312,4.096604347229004,-4.4209523,4.1745343,-7.5365624,472.5,768.75,618.75,201.5,487.5,624.375,394.5,212.2,258.0,659.25
895,161,369,-23.59187,11.814983,0.001407433534041047,0.01692279987037182,-0.011916759423911572,1.9249969720840454,8.75107479095459,3.842811107635498,-6.206372,5.293157,-7.3947663,483.75,772.5,633.75,199.0,502.5,615.0,410.25,210.9,268.5,649.125
896,161,369,-23.625862,11.847867,0.004461759701371193,0.005927225574851036,-0.003364645643159747,1.848380208015442,8.743891716003418,4.0415358543396,-4.781296,3.8242404,-7.0251026,483.75,772.5,633.75,199.5,502.5,616.875,413.25,210.2,276.75,651.75
897,161,369,-23.63257,11.845281,0.030118098482489586,-0.005679213907569647,0.02168083004653454,1.8651400804519653,8.765439987182617,4.051113128662109,-5.6879873,4.730223,-7.036814,483.75,774.375,633.75,200.5,502.5,620.625,414.0,210.9,272.25,649.125
